season,date_code,weekending,region,Influenza_Category,Count
2009-2010,200940,10/4/2009,Bay Area,Influenza_A,56
2009-2010,200940,10/4/2009,Bay Area,Influenza_AH3,0
2009-2010,200940,10/4/2009,Bay Area,Influenza_AH1,0
2009-2010,200940,10/4/2009,Bay Area,Influenza_AH1pdm09,0
2009-2010,200940,10/4/2009,Bay Area,Influenza_ANotSubtyped,56
2009-2010,200940,10/4/2009,Bay Area,Influenza_B,0
2009-2010,200940,10/4/2009,Bay Area,Influenza_Total,56
2009-2010,200940,10/4/2009,Bay Area,Influenza_Tested,227
2009-2010,200940,10/4/2009,California,Influenza_A,614
2009-2010,200940,10/4/2009,California,Influenza_AH3,0
2009-2010,200940,10/4/2009,California,Influenza_AH1,0
2009-2010,200940,10/4/2009,California,Influenza_AH1pdm09,0
2009-2010,200940,10/4/2009,California,Influenza_ANotSubtyped,614
2009-2010,200940,10/4/2009,California,Influenza_B,1
2009-2010,200940,10/4/2009,California,Influenza_Total,615
2009-2010,200940,10/4/2009,California,Influenza_Tested,1374
2009-2010,200940,10/4/2009,Central,Influenza_A,192
2009-2010,200940,10/4/2009,Central,Influenza_AH3,0
2009-2010,200940,10/4/2009,Central,Influenza_AH1,0
2009-2010,200940,10/4/2009,Central,Influenza_AH1pdm09,0
2009-2010,200940,10/4/2009,Central,Influenza_ANotSubtyped,192
2009-2010,200940,10/4/2009,Central,Influenza_B,1
2009-2010,200940,10/4/2009,Central,Influenza_Total,193
2009-2010,200940,10/4/2009,Central,Influenza_Tested,367
2009-2010,200940,10/4/2009,Lower Southern,Influenza_A,195
2009-2010,200940,10/4/2009,Lower Southern,Influenza_AH3,0
2009-2010,200940,10/4/2009,Lower Southern,Influenza_AH1,0
2009-2010,200940,10/4/2009,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200940,10/4/2009,Lower Southern,Influenza_ANotSubtyped,195
2009-2010,200940,10/4/2009,Lower Southern,Influenza_B,0
2009-2010,200940,10/4/2009,Lower Southern,Influenza_Total,195
2009-2010,200940,10/4/2009,Lower Southern,Influenza_Tested,476
2009-2010,200940,10/4/2009,Northern,Influenza_A,53
2009-2010,200940,10/4/2009,Northern,Influenza_AH3,0
2009-2010,200940,10/4/2009,Northern,Influenza_AH1,0
2009-2010,200940,10/4/2009,Northern,Influenza_AH1pdm09,0
